id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
5isqBaknkx9p1bHiXQJ6sB,MONTAGEM ONDA,3073431,2.78639,133.54376,-5.425,130.044,4,1,1,3yn6fs9MkW1i4V3S2G8Dxs,06-02-2024,686755,8874,0,72323,['phonk brasileiro'],vtze archive,66
3prcF9N1zAncpPLYv9wbet,MTG DIAMANTE ROSA 2 - Slowed,2737062,0.06952,113.82422,-3.151,112.593,4,11,0,3yn6fs9MkW1i4V3S2G8Dxs,25-07-2024,422173,8377,0,72323,['phonk brasileiro'],vtze archive,66
6dvB8iJCGV8OgTdrFNvOtu,SEQUÊNCIA DO SOLTEIRO 2.0 - SLOWED,2346947,0.0,101.8137,-1.187,112.836,4,0,0,3yn6fs9MkW1i4V3S2G8Dxs,29-05-2024,15171,297,0,72323,['phonk brasileiro'],vtze archive,66
4IJEpLTNTZiivqsieyCxcr,CASA ASSOMBRADA,1546892,0.0,64.68499,-6.439,130.054,4,0,0,3yn6fs9MkW1i4V3S2G8Dxs,25-04-2024,69427,2902,122,72323,['phonk brasileiro'],vtze archive,66
4s9KzC1CduhQWbekLNCLLB,Red Rum,4842180,0.0,213.36237,-9.092,149.966,3,6,0,3E3VtUZsU5Ci439SjOdCd0,27-05-2022,1585163,32121,771,313,[],antransax,37
6NiU7NByORD3dOivBDRyD7,Share the Night,5670000,2.0956,244.87764,-11.57,140.065,4,2,1,3E3VtUZsU5Ci439SjOdCd0,14-10-2022,29603,646,34,313,[],antransax,37
6xj206wCiEIYFsntzq0gKk,Hoang Mang,4900612,0.0,214.74396,-12.152,128.038,4,8,0,3E3VtUZsU5Ci439SjOdCd0,11-06-2022,849428,4053,195,313,[],antransax,37
26zqmmkqUK6mCc87XDzPym,"CHÂN THÀNH (feat. RHYDER, Captain, Quang Hùng MasterD, WEAN & Ali Hoàng Dương)",5688900,2.0956,249.98022,-6.94,180.134,3,7,0,1W2pigH6UYwuTuFbwoSfVZ,28-08-2024,1233735,13725,639,247960,['v-pop'],RHYDER,64
1Rl6XZjjYq7zBJGALyGTZH,"YOU (feat. Song Luân, Anh Tú Atus, Captain & Quang Trung)",4337053,0.08667,192.7082,-5.779,132.906,4,0,1,4cLYlDISnWaErAitB8kRph,16-07-2024,727557,5880,157,29887,"['v-pop', 'viet lo-fi']",Quang Trung,57
0tcCNI3ntKW7avsfVkZ34l,"BẢNH (feat. Anh Tú Atus, Song Luân, RHYDER, HURRYKNG, Captain, Quang Trung, Dương Domic, Anh Tú, JSOL, Đỗ Phú Quí, Tage, Phạm Đình Thái Ngân, Phạm Anh Duy & Hùng Huỳnh)",4805791,0.26558,214.2273,-4.879,122.937,4,4,0,6Ca5ccx9CM1kd0LBz1T83U,23-10-2024,1995017,162683,28717,53198,['v-pop'],Pham Dinh Thai Ngan,47
2MFqzQ3eJPM1dHCaioyU1s,"SOS (feat. RHYDER, Captain, Quang Hùng MasterD, WEAN & Ali Hoàng Dương)",6151385,2.25234,270.02484,-5.495,116.963,4,5,1,1W2pigH6UYwuTuFbwoSfVZ,20-08-2024,1814483,38579,21180,247960,['v-pop'],RHYDER,64
