id_track,name_track,duration_ms,explicit,name,id_artist,release_date,popularity,followers,streams,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode
1abxpxR02QBwzEWJal3Khb,Seni Yazdım,151059,False,ElMusto,1Tjaa3WWIVU00kfZ8Dvpcl,2024-02-02,67,799986,7752410,3330856,0.0,133.79918,-8.602,92.041,4,8,1
6jDRPXjvUv2N9ACBXR6sTh,Bir Şehri Sevmek,195348,False,Mavi Gri,4otJVkrLLqDF8OxFJOigme,2024-03-01,66,1450832,3391946,4307441,0.42943,191.09442,-7.755,172.106,4,8,0
5y7ETdiSaRVhkNKn7gRxxC,İntihar Saatler,188212,False,Kubilay Karça,2pbct1ni3yLLAfzrSXQDrH,2024-03-08,60,487496,4478685,4150086,0.12762,177.73714,-6.36,90.189,4,5,1
60Fq8L51FhwH9VhoQbII2J,Sokakta Stres,155500,True,Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,2024-01-19,64,485590,2538326,3428775,0.0,146.90685,-6.561,105.377,4,7,1
7MEOvvU8t9rx8b4hWemnWW,SHOT,108551,False,Lvbel C5,0V2oXYR7DtrZAEFeILRW2r,2024-01-25,76,3063520,2667840,2393552,0.35991,105.18639,-8.317,110.248,4,11,1
490MqlRWgEby3jzfYi8ULn,yıldızlar şahit aşkıma,156004,False,Lvbel C5,0V2oXYR7DtrZAEFeILRW2r,2024-02-15,76,3063520,2758690,3439906,0.0,147.22032,-11.841,130.007,4,11,0
0IwoMJSeyKvHncd3XDYboj,İstanbul,143004,True,Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,2024-01-19,64,485590,4640406,3153256,0.0,140.78839,-10.466,94.274,4,8,1
1PqVXQrffEeYMgcnrAs4Gb,Şalteri Kapattım,106610,False,Semicenk,1CcZoULzFHa8Uhwo6OlQcp,2024-01-12,77,4144757,3338520,2350753,0.45224,106.61012,-8.827,163.775,4,7,1
7AjPgrmEzCBVkQWUiOncM3,Lakin,161590,False,Sufle,1hWfWJvstJQPgjZ2vDFY0P,2024-02-02,59,403722,2354042,3563079,0.67909,151.8469,-6.011,176.065,4,4,0
5PdGvW7w6Xf2tKZ8lKjJWd,RXCKSTAR,73441,True,DEHA INC.,2qW4eDZVrF6mlcuaTBEMjh,2024-01-12,57,362078,2997819,1619395,0.1278,73.44195,-5.558,122.047,5,1,1
0rjtocRvOFrYcsmJiAJP5V,Kaynanam,149148,True,ElMusto,1Tjaa3WWIVU00kfZ8Dvpcl,2024-04-12,67,799986,2353003,3288733,0.0,142.49506,-5.691,105.0,4,9,1
6n5sAwgI535CMAr36INv9L,anlatamam,122833,False,Muti,3NPQ2qMGXAR0g1COJxuZ8r,2024-04-26,65,693401,2757470,2708475,0.20249,115.74567,-6.692,89.541,3,5,1
3wxylsVa0oe4zNmWiD5xFt,sga,143693,False,Berrin Keklikler,64Cq76lbrG6XZOZPo5Giwl,2024-02-15,46,15885,2904447,3168448,0.319,141.68236,-5.887,135.014,4,6,1
0tzBL8wXLVKx1ww14HQdof,Aç Kurtlar,128000,False,Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,2024-01-19,64,485590,2070327,2822400,0.0,123.39664,-7.386,90.007,4,2,1
6FBtVmBv2LciEc7o02CmF5,Delil,142679,False,İrem Derici,5h2jTdwf4p0dM34aBykPzZ,2024-02-09,63,1409253,2010134,3146082,0.3834,134.07782,-5.203,136.895,4,7,0
3NWhRNp75M7bEZZH1nWzMw,Hayalet,162295,False,BEGE,6q1sTU51oryTTcWTPTd0VC,2024-01-05,58,830590,3792690,3578606,0.0,159.03928,-12.717,120.38,4,10,0
3Ei2OxIID6rSuPkvp6dIGP,#PHONKFREESTYLE,178775,True,DEHA INC.,2qW4eDZVrF6mlcuaTBEMjh,2024-01-26,57,362078,2947230,3941999,0.0,171.13687,-5.196,98.032,4,5,0
54zsmA29OuHxurKZwx77Li,ARADAN ÇOK YILLAR GEÇTİ,192000,False,Reckol,5FqTuN42w2zGw4Pzd50yaS,2024-03-15,59,845335,2823656,4233600,0.0,177.12181,-7.361,120.067,4,5,0
5WO3fQkU2Stfv6LGzwhwFL,İstanbul,143004,True,Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,2024-01-05,64,485590,4640406,3153256,0.0,140.78839,-10.466,94.274,4,8,1
